# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
13627, 1, 1, 2.0000, 1, 0, 0, 1.6900, 1.0309, 1.0045, 0
13628, 4, 2, 0.4582, 3, 1, 0, 1.1972, 0.7558, 0.9663, 0
13629, 3, 3, 0.2669, 3, 0, 0, 2.0028, 1.2239, 1.0331, 0
13630, 3, 1, 1.7321, 3, 0, 0, 1.7366, 1.1129, 1.0164, 0
13631, 8, 1, 18.0312, 8, 0, 0, 1.1637, 0.7072, 0.9598, 0
13633, 14, 3, 8.3348, 2, 0, 0, 1.1798, 0.7710, 0.9684, 0
13634, 22, 4, 2.8397, 8, 0, 0, 1.2643, 0.8445, 0.9782, 0
13635, 24, 5, 4.2179, 2, 1, 0, 2.5245, 1.5531, 1.0858, 0
13636, 28, 6, 2.3389, 4, 0, 0, 1.2580, 0.7965, 0.9717, 0
13639, 8, 3, 0.1634, 2, 1, 0, 2.3662, 1.4732, 1.0726, 0
13640, 11, 4, 0.0909, 3, 0, 0, 1.1996, 0.7712, 0.9684, 0
13642, 2, 2, 0.5612, 2, 1, 0, 1.2289, 0.8451, 0.9784, 0
13643, 2, 1, 0.7071, 2, 0, 0, 1.2568, 0.9040, 0.9865, 0
13647, 9, 5, 0.0827, 2, 1, 0, 1.1115, 0.8256, 0.9756, 0
13648, 10, 6, 0.0917, 1, 0, 0, 1.0839, 0.8252, 0.9757, 0
13649, 3, 1, 0.5774, 3, 0, 0, 2.9594, 1.9769, 1.1622, 0
13650, 5, 2, 0.2806, 2, 1, 0, 1.2549, 0.8555, 0.9798, 0
13655, 1, 1, 2.0000, 1, 0, 0, 1.2105, 0.8808, 0.9834, 0
13656, 4, 2, 0.4582, 3, 1, 0, 1.1106, 0.8279, 0.9760, 0
13657, 1, 1, 1.0000, 1, 0, 0, 1.4656, 1.0951, 1.0138, 0
13659, 2, 1, 1.4142, 2, 0, 0, 1.1177, 0.8296, 0.9763, 0
13660, 3, 1, 0.5774, 3, 0, 0, 1.1600, 0.8945, 0.9851, 0
13661, 2, 1, 0.7071, 2, 0, 0, 1.9939, 1.0908, 1.0131, 0
13663, 4, 2, 0.9165, 3, 1, 0, 1.9690, 1.2296, 1.0339, 0
13664, 1, 1, 1.0000, 1, 0, 0, 1.4827, 0.9639, 0.9950, 0
13665, 4, 2, 0.2291, 3, 1, 0, 1.6097, 1.0405, 1.0057, 0
13666, 1, 1, 1.0000, 1, 0, 0, 1.0789, 0.7440, 0.9647, 0
13667, 3, 2, 0.2806, 2, 1, 0, 1.1191, 0.7943, 0.9715, 0
13669, 4, 1, 0.5000, 4, 0, 0, 1.0971, 0.7877, 0.9706, 0
13670, 3, 1, 1.7321, 3, 0, 0, 1.5913, 1.1634, 1.0239, 0
13675, 1, 1, 2.0000, 1, 0, 0, 1.9208, 1.3724, 1.0563, 0
13677, 3, 1, 0.5774, 3, 0, 0, 1.1276, 0.7900, 0.9709, 0
13680, 1, 1, 1.0000, 1, 0, 0, 1.7468, 1.2781, 1.0414, 0
13681, 4, 2, 0.2291, 3, 1, 0, 1.2674, 0.9357, 0.9910, 0
13683, 4, 2, 0.5612, 2, 1, 0, 1.4855, 0.9550, 0.9936, 0
13685, 4, 2, 0.4582, 3, 1, 0, 1.0801, 0.7353, 0.9636, 0
13686, 1, 1, 1.0000, 1, 0, 0, 1.3576, 0.9174, 0.9884, 0
13688, 1, 1, 1.0000, 1, 0, 0, 1.4191, 0.9739, 0.9963, 0
