# id,ConstantLostPacketCount,LostCount,LostDistWeight,LostPacketCount,inRcvry,inSS,Rlmrtt,Rlsrtt,Rsprtt,type
4431, 1, 1, 1.0000, 1, 1, 0, 1.0354, 1.0027, 1.0004, 0
4432, 1, 1, 100.0000, 1, 0, 0, 1.0340, 1.0172, 1.0025, 1
4433, 3, 2, 0.4582, 3, 1, 0, 1.2222, 0.9574, 0.9940, 0
4434, 1, 1, 4.0000, 1, 1, 0, 1.0319, 1.0154, 1.0022, 1
4435, 4, 1, 1.5000, 4, 0, 0, 1.2498, 0.8826, 0.9836, 0
4436, 4, 1, 0.5000, 4, 0, 0, 1.0936, 0.8669, 0.9814, 0
4437, 3, 3, 1.3867, 1, 1, 0, 1.1396, 0.9868, 0.9981, 0
4438, 5, 3, 0.1334, 3, 1, 0, 1.0037, 0.9766, 0.9967, 0
4439, 1, 1, 2.0000, 1, 1, 0, 1.0086, 0.9589, 0.9942, 0
4440, 15, 8, 0.2652, 2, 1, 0, 1.0132, 0.9991, 0.9999, 0
4441, 4, 3, 0.2311, 1, 1, 0, 1.1173, 0.7372, 0.9638, 0
4442, 1, 1, 2.0000, 1, 1, 0, 1.0155, 0.9987, 0.9998, 0
4443, 12, 2, 14.0308, 8, 1, 0, 1.0360, 0.9658, 0.9951, 0
4444, 1, 1, 4.0000, 1, 1, 0, 1.0019, 0.9909, 0.9987, 1
4445, 1, 1, 2.0000, 1, 1, 0, 1.0068, 0.9935, 0.9991, 0
4446, 59, 13, 0.0981, 1, 0, 0, 1.0107, 0.9890, 0.9984, 0
4447, 1, 1, 48.0000, 1, 0, 0, 1.2750, 0.9069, 0.9869, 1
4448, 3, 2, 1.1906, 1, 1, 0, 1.0857, 0.7825, 0.9699, 0
4449, 1, 1, 1.0000, 1, 1, 0, 1.0016, 0.9678, 0.9954, 0
4450, 6, 4, 0.3341, 2, 1, 0, 1.0071, 0.9857, 0.9980, 0
4451, 1, 1, 16.0000, 1, 0, 0, 1.0183, 1.0039, 1.0006, 1
4452, 5, 3, 0.1634, 2, 1, 0, 1.0118, 0.9523, 0.9932, 0
4453, 10, 3, 0.9245, 1, 1, 0, 1.0205, 0.9483, 0.9927, 0
4454, 3, 1, 0.5774, 3, 0, 0, 1.1388, 0.7847, 0.9702, 0
4455, 4, 1, 0.5000, 4, 0, 0, 1.0299, 0.7264, 0.9625, 0
4456, 1, 1, 73.0000, 1, 0, 0, 1.0934, 0.6073, 0.9469, 1
4457, 2, 2, 0.3969, 1, 1, 0, 1.1162, 0.9870, 0.9982, 1
4458, 4, 1, 1.0000, 4, 0, 0, 1.4968, 0.8425, 0.9779, 1
4459, 1, 1, 4.0000, 1, 1, 0, 1.0644, 1.0317, 1.0046, 1
4460, 2, 2, 0.3969, 1, 0, 0, 1.1672, 0.6632, 0.9542, 0
4461, 2, 2, 39.6850, 1, 1, 0, 1.1996, 1.1138, 1.0165, 0
4462, 3, 2, 0.2806, 2, 1, 0, 1.2291, 0.8293, 0.9762, 0
4463, 3, 1, 1.1547, 3, 0, 0, 1.4435, 0.9980, 0.9998, 0
4464, 3, 2, 1.1906, 1, 1, 0, 1.1594, 1.0829, 1.0120, 0
4465, 21, 5, 3.2430, 5, 1, 0, 1.0044, 0.9743, 0.9963, 0
4466, 10, 8, 6.2500, 1, 1, 0, 1.0092, 1.0026, 1.0004, 0
4467, 9, 6, 0.1834, 1, 0, 0, 1.6643, 1.1659, 1.0244, 0
4468, 8, 5, 0.3308, 2, 1, 0, 1.3479, 1.2618, 1.0389, 0
4469, 11, 6, 0.0530, 3, 1, 0, 1.0336, 0.9751, 0.9965, 0
4470, 5, 2, 0.1984, 4, 0, 0, 1.1360, 0.7259, 0.9624, 0
4471, 9, 9, 0.0534, 1, 1, 0, 1.0014, 0.9976, 0.9997, 0
4472, 2, 2, 0.3969, 1, 1, 0, 1.9298, 1.2344, 1.0346, 0
4473, 1, 1, 61.0000, 1, 0, 0, 1.0122, 0.9808, 0.9973, 1
4474, 1, 1, 3.0000, 1, 1, 0, 1.0160, 0.9627, 0.9947, 0
4475, 25, 9, 0.0378, 2, 0, 0, 1.1507, 0.8547, 0.9798, 0
4476, 62, 8, 2.3623, 7, 1, 0, 1.0230, 0.9918, 0.9988, 0
4477, 8, 4, 1.6704, 2, 1, 0, 1.0021, 0.9963, 0.9995, 0
4478, 7, 4, 10.9135, 2, 1, 0, 1.0107, 0.9580, 0.9940, 0
4479, 4, 1, 2.0000, 4, 0, 0, 1.0834, 0.8614, 0.9807, 0
4480, 2, 1, 2.8284, 2, 0, 0, 1.4552, 1.0193, 1.0028, 0
4481, 4, 3, 0.9245, 1, 0, 0, 1.0743, 0.8105, 0.9737, 0
4482, 1, 1, 1.0000, 1, 1, 0, 1.0277, 0.9875, 0.9982, 0
4483, 8, 3, 0.1156, 4, 0, 0, 2.3446, 1.5303, 1.0820, 0
4484, 27, 5, 3.3919, 1, 0, 0, 1.0071, 0.9941, 0.9992, 0
4485, 2, 2, 5.1591, 1, 1, 0, 1.0303, 1.0113, 1.0016, 1
4486, 3, 1, 1.1547, 3, 0, 0, 1.3813, 0.7204, 0.9616, 0
4487, 7, 5, 0.2339, 1, 1, 0, 1.0024, 0.9726, 0.9961, 0
4488, 1, 1, 35.0000, 1, 0, 0, 1.0028, 0.9977, 0.9997, 1
4489, 7, 1, 0.3780, 7, 1, 0, 1.0235, 0.9832, 0.9976, 0
4490, 5, 3, 0.2311, 1, 0, 0, 1.1559, 0.7366, 0.9637, 0
4491, 1, 1, 5.0000, 1, 1, 0, 1.1886, 0.8962, 0.9854, 1
4492, 6, 4, 0.1114, 2, 1, 0, 1.0048, 0.9685, 0.9955, 0
4493, 1, 2, 1.1906, 1, 1, 0, 1.5620, 1.0977, 1.0142, 0
4494, 3, 2, 0.3969, 1, 1, 0, 1.0251, 1.0051, 1.0007, 0
4495, 4, 4, 0.3150, 1, 1, 0, 1.0072, 0.9905, 0.9986, 0
4496, 8, 7, 0.2987, 1, 1, 0, 1.0892, 1.0599, 1.0086, 0
4497, 6, 5, 0.2339, 1, 0, 0, 1.0843, 0.8008, 0.9723, 0
4498, 1, 1, 11.0000, 1, 1, 0, 1.0049, 0.9954, 0.9993, 1
4499, 27, 6, 3.5022, 2, 0, 0, 1.6136, 0.9957, 0.9994, 0
4500, 3, 1, 0.5774, 3, 0, 0, 1.2025, 0.9192, 0.9887, 0
4501, 3, 3, 1.1556, 1, 1, 0, 1.0025, 0.9874, 0.9982, 0
4502, 1, 1, 6.0000, 1, 0, 0, 1.4710, 1.0017, 1.0003, 1
4503, 4, 2, 1.1225, 2, 1, 0, 1.5754, 1.1063, 1.0155, 0
4504, 5, 3, 10.7862, 2, 1, 0, 1.0459, 0.9642, 0.9949, 0
4505, 1, 1, 2.0000, 1, 0, 0, 1.0129, 0.9785, 0.9970, 0
4506, 5, 5, 0.1170, 1, 1, 0, 1.0089, 0.9980, 0.9997, 0
4507, 1, 1, 26.0000, 1, 0, 0, 1.2447, 0.6994, 0.9589, 1
4508, 48, 3, 0.0504, 21, 1, 0, 1.0001, 0.9075, 0.9870, 0
4509, 4, 2, 0.2806, 2, 1, 0, 1.1194, 0.8737, 0.9823, 0
4510, 1, 1, 28.0000, 1, 0, 0, 1.1440, 1.0486, 1.0070, 1
4511, 1, 1, 20.0000, 1, 0, 0, 1.0112, 0.9969, 0.9996, 1
4512, 1, 1, 1.0000, 1, 1, 0, 1.0359, 0.9693, 0.9956, 0
4513, 117, 13, 2.2246, 1, 1, 0, 1.0190, 0.9360, 0.9909, 0
4514, 1, 1, 6.0000, 1, 0, 0, 1.0206, 1.0082, 1.0012, 1
4515, 1, 1, 17.0000, 1, 1, 0, 1.0006, 0.9952, 0.9993, 1
4516, 1, 1, 1.0000, 1, 1, 0, 1.0280, 0.9483, 0.9927, 0
4517, 7, 6, 0.1834, 1, 1, 0, 1.0043, 0.9865, 0.9981, 0
4518, 1, 1, 1.0000, 1, 0, 0, 1.0833, 1.0420, 1.0060, 0
4519, 4, 4, 0.1575, 1, 0, 0, 1.1937, 1.1017, 1.0148, 0
4520, 8, 3, 0.6537, 2, 0, 0, 1.2476, 0.9207, 0.9887, 0
4521, 2, 2, 0.3969, 1, 0, 0, 1.4891, 0.8861, 0.9840, 0
4522, 9, 5, 0.1170, 1, 0, 0, 1.0822, 1.0280, 1.0040, 0
4523, 1, 1, 8.0000, 1, 1, 0, 1.0335, 0.9860, 0.9980, 1
4524, 15, 3, 7.0722, 3, 0, 0, 1.0718, 0.8391, 0.9775, 0
4525, 12, 8, 0.0625, 1, 0, 0, 1.0133, 0.9864, 0.9981, 0
4526, 1, 1, 7.0000, 1, 0, 0, 1.0020, 0.9809, 0.9973, 1
4527, 2, 2, 39.6850, 1, 1, 0, 1.2333, 1.1669, 1.0244, 0
4528, 6, 4, 0.6300, 1, 1, 0, 1.0555, 0.9510, 0.9930, 0
4529, 12, 11, 0.2023, 2, 1, 0, 1.0017, 0.9946, 0.9992, 0
4530, 1, 1, 2.0000, 1, 1, 0, 1.0039, 0.9756, 0.9965, 0
4531, 1, 1, 3.0000, 1, 0, 0, 1.4491, 0.9500, 0.9930, 0
4532, 4, 3, 0.4903, 2, 1, 0, 1.1290, 1.0008, 1.0001, 0
4533, 1, 1, 1.0000, 1, 1, 0, 1.0348, 0.9923, 0.9989, 0
